,Unnamed: 0,State Abbreviation,FIPS Code,State Name
0,0,AK,2,ALASKA
1,1,AL,1,ALABAMA
2,2,AR,5,ARKANSAS
3,3,AS,60,AMERICAN SAMOA
4,4,AZ,4,ARIZONA
5,5,CA,6,CALIFORNIA
6,6,CO,8,COLORADO
7,7,CT,9,CONNECTICUT
8,8,DC,11,DISTRICT OF COLUMBIA
9,9,DE,10,DELAWARE
10,10,FL,12,FLORIDA
11,11,GA,13,GEORGIA
12,12,GU,66,GUAM
13,13,HI,15,HAWAII
14,14,IA,19,IOWA
15,15,ID,16,IDAHO
16,16,IL,17,ILLINOIS
17,17,IN,18,INDIANA
18,18,KS,20,KANSAS
19,19,KY,21,KENTUCKY
20,20,LA,22,LOUISIANA
21,21,MA,25,MASSACHUSETTS
22,22,MD,24,MARYLAND
23,23,ME,23,MAINE
24,24,MI,26,MICHIGAN
25,25,MN,27,MINNESOTA
26,26,MO,29,MISSOURI
27,27,MS,28,MISSISSIPPI
28,28,MT,30,MONTANA
29,29,NC,37,NORTH CAROLINA
30,30,ND,38,NORTH DAKOTA
31,31,NE,31,NEBRASKA
32,32,NH,33,NEW HAMPSHIRE
33,33,NJ,34,NEW JERSEY
34,34,NM,35,NEW MEXICO
35,35,NV,32,NEVADA
36,36,NY,36,NEW YORK
37,37,OH,39,OHIO
38,38,OK,40,OKLAHOMA
39,39,OR,41,OREGON
40,40,PA,42,PENNSYLVANIA
41,41,PR,72,PUERTO RICO
42,42,RI,44,RHODE ISLAND
43,43,SC,45,SOUTH CAROLINA
44,44,SD,46,SOUTH DAKOTA
45,45,TN,47,TENNESSEE
46,46,TX,48,TEXAS
47,47,UT,49,UTAH
48,48,VA,51,VIRGINIA
49,49,VI,78,VIRGIN ISLANDS
50,50,VT,50,VERMONT
51,51,WA,53,WASHINGTON
52,52,WI,55,WISCONSIN
53,53,WV,54,WEST VIRGINIA
54,54,WY,56,WYOMING
